,0
315,Poor to Fair/Excellent
316,Excellent/Very Good
317,Excellent
318,Poor to Fair/Excellent
319,Poor to Fair/Excellent
320,Poor/Good
321,Poor to Fair/Excellent
322,Poor to Fair/Excellent
323,Poor
324,Poor to Fair/Excellent
325,Poor/Fair
326,Very Good/Poor
327,Fair
328,Poor
329,Poor
330,Poor to Fair/Excellent
331,Very Good/Poor
332,Excellent/Very Good
333,Poor
334,Excellent/Very Good
335,Excellent/Good
336,Excellent/Good
337,Poor
338,Poor
339,Very Good/Poor
340,Fair
341,Excellent/Good
342,Poor to Fair/Excellent
343,Excellent/Very Good
344,Poor to Fair/Excellent
345,Poor
346,Excellent/Very Good
347,Excellent
348,Good/Good
349,Excellent/Very Good
350,Good/Good
351,Poor/Fair
352,Poor
353,Poor
354,Very Good/Poor
355,Fair/Very Good
356,Good/Good
357,Poor
358,Good/Fair
359,Excellent/Good
360,Poor/Fair
361,Fair
362,Poor to Fair/Excellent
363,Poor
364,Poor
365,Poor/Fair
366,Poor/Fair
367,Poor/Good
368,Poor to Fair/Excellent
369,Poor
370,Poor/Fair
371,Excellent/Very Good
372,Fair/Good
373,Excellent/Very Good
374,Poor/Fair
375,Poor to Fair/Excellent
376,Fair
377,Fair
378,Poor to Fair/Excellent
379,Excellent
380,Poor
381,Fair/Good
382,Good/Good
383,Excellent/Very Good
384,Poor/Fair
385,Excellent/Very Good
386,Excellent/Very Good
387,Excellent/Good
388,Excellent/Good
389,Excellent/Very Good
390,Poor to Fair/Excellent
391,Fair
392,Very Good/Poor
393,Excellent/Good
394,Poor to Fair/Excellent
395,Very Good/Poor
396,Poor to Fair/Excellent
397,Good/Good
398,Very Good/Poor
399,Poor to Fair/Excellent
400,Poor to Fair/Excellent
401,Poor to Fair/Excellent
402,Poor
403,Poor to Fair/Excellent
404,Poor
405,Fair/Good
406,Good/Excellent
407,Poor
408,Fair/Good
409,Poor/Fair
410,Excellent/Good
411,Excellent/Very Good
412,Good/Good
413,Very Good/Poor
414,Poor to Fair/Excellent
415,Fair
416,Poor
417,Poor/Fair
