Depth,S1,S2,S1 + S2,S3,S2/S3,TOC,HI,OI,PP,PI,Tmax,S1/TOC,Ro,classes
3386,0.17,0.28,0.46,0.43,0.651162791,33,0.848484848,1.303030303,0.35,0.377777778,391,0.005151515,0.12,Poor to Fair/Excellent
3392,0.17,0.27,0.31,0.55,0.490909091,29,0.931034483,1.896551724,0.37,0.386363636,391,0.005862069,0.12,Poor to Fair/Excellent
3398,0.01,0.05,0.17,0.06,0.833333333,8,0.625,0.75,0.8,0.166666667,392,0.00125,0.11,Poor to Fair/Excellent
3398,0.35,0.55,0.43,0.81,0.679012346,52,1.057692308,1.557692308,0.36,0.388888889,392,0.006730769,0.11,Poor to Fair/Excellent
3398,0.18,0.32,0.25,0.72,0.444444444,29,1.103448276,2.482758621,0.44,0.36,392,0.006206897,0.1,Poor to Fair/Excellent
3410,0.11,0.18,0.61,0.13,1.384615385,28,0.642857143,0.464285714,0.39,0.379310345,393,0.003928571,0.09,Poor to Fair/Excellent
3410,0.17,0.25,0.2,0.18,1.388888889,16,1.5625,1.125,0.32,0.404761905,393,0.010625,0.08,Poor to Fair/Excellent
3416,0.08,0.14,0.21,0.85,0.164705882,7,2,12.14285714,0.43,0.363636364,393,0.011428571,0.08,Poor to Fair/Excellent
3422,0.06,0.14,0.18,1.83,0.076502732,28,0.5,6.535714286,0.2,0.3,394,0.002142857,0.07,Poor to Fair/Excellent
3428,0.08,0.13,0.39,0.4,0.325,21,0.619047619,1.904761905,0.38,0.380952381,394,0.003809524,0.07,Poor to Fair/Excellent
3434,0.05,0.09,0.2,0.31,0.290322581,13,0.692307692,2.384615385,0.44,0.357142857,394,0.003846154,0.06,Poor to Fair/Excellent
3440,0.04,0.06,0.16,0.24,0.25,11,0.545454545,2.181818182,0.33,0.4,395,0.003636364,0.06,Poor to Fair/Excellent
3446,0.04,0.07,0.17,0.29,0.24137931,12,0.583333333,2.416666667,0.43,0.363636364,395,0.003333333,0.05,Poor to Fair/Excellent
3452,0.03,0.06,0.14,0.2,0.3,9,0.666666667,2.222222222,0.5,0.333333333,395,0.003333333,0.04,Poor to Fair/Excellent
3458,0.52,0.98,0.15,3.47,0.282420749,93,1.053763441,3.731182796,0.47,0.346666667,396,0.005591398,0.04,Poor to Fair/Excellent
3464,0.01,0.02,0.15,0.1,0.2,7,0.285714286,1.428571429,0.5,0.333333333,396,0.001428571,0.03,Poor to Fair/Excellent
3470,0.17,0.25,0.26,0.71,0.352112676,37,0.675675676,1.918918919,0.32,0.404761905,396,0.004594595,0.03,Poor to Fair/Excellent
3470,0.4,0.49,0.24,3.33,0.147147147,68,0.720588235,4.897058824,0.18,0.449438202,397,0.005882353,0.02,Poor to Fair/Excellent
3476,0.02,0.04,0.08,0.13,0.307692308,6,0.666666667,2.166666667,0.5,0.333333333,397,0.003333333,0.02,Poor to Fair/Excellent
3482,0.06,0.08,0.16,0.38,0.210526316,15,0.533333333,2.533333333,0.25,0.428571429,397,0.004,0.01,Poor to Fair/Excellent
3488,0.06,0.08,0.16,0.46,0.173913043,16,0.5,2.875,0.25,0.428571429,398,0.00375,0,Poor to Fair/Excellent
3494,0.05,0.07,0.13,0.36,0.194444444,13,0.538461538,2.769230769,0.29,0.416666667,398,0.003846154,0,Poor to Fair/Excellent
3497,0.06,0.08,0.14,0.38,0.210526316,14,0.571428571,2.714285714,0.25,0.428571429,398,0.004285714,0.01,Poor to Fair/Excellent
3506,0.07,0.1,0.16,0.35,0.285714286,19,0.526315789,1.842105263,0.3,0.411764706,398,0.003684211,0.01,Poor to Fair/Excellent
3512,0.11,0.15,0.2,0.73,0.205479452,28,0.535714286,2.607142857,0.27,0.423076923,399,0.003928571,0.02,Poor to Fair/Excellent
3518,1.02,1.46,0.15,3.4,0.429411765,128,1.140625,2.65625,0.3,0.411290323,399,0.00796875,0.02,Poor to Fair/Excellent
3518,1.49,1.88,0.3,9.93,0.189325277,157,1.197452229,6.324840764,0.21,0.442136499,399,0.009490446,0.03,Poor to Fair/Excellent
3524,0.79,0.89,0.15,5.27,0.168880455,104,0.855769231,5.067307692,0.11,0.470238095,400,0.007596154,0.04,Poor to Fair/Excellent
3530,0.06,0.09,0.2,0.3,0.3,15,0.6,2,0.33,0.4,400,0.004,0.04,Poor to Fair/Excellent
3536,0.13,0.18,0.23,0.57,0.315789474,33,0.545454545,1.727272727,0.28,0.419354839,400,0.003939394,0.05,Poor to Fair/Excellent
3334,0.04,0.06,0.44,0.09,0.666666667,67,0.089552239,0.134328358,0.33,0.4,401,0.000597015,0.05,Poor to Fair/Excellent
3358,0.05,0.08,0.41,0.12,0.666666667,500,0.016,0.024,0.38,0.384615385,401,0.0001,0.06,Poor to Fair/Excellent
3386,0.05,0.11,0.43,0.12,0.916666667,125,0.088,0.096,0.55,0.3125,401,0.0004,0.06,Poor to Fair/Excellent
3410,0.03,0.06,0.49,0.06,1,17,0.352941176,0.352941176,0.5,0.333333333,402,0.001764706,0.07,Poor to Fair/Excellent
3432,0.01,0.03,0.4,0.02,1.5,25,0.12,0.08,0.67,0.25,402,0.0004,0.08,Poor to Fair/Excellent
3456,0.01,0.02,0.38,0.03,0.666666667,100,0.02,0.03,0.5,0.333333333,402,0.0001,0.08,Poor to Fair/Excellent
3480,0.04,0.08,0.45,0.09,0.888888889,100,0.08,0.09,0.5,0.333333333,403,0.0004,0.09,Poor to Fair/Excellent
3508,0.02,0.04,0.36,0.06,0.666666667,200,0.02,0.03,0.5,0.333333333,403,0.0001,0.09,Poor to Fair/Excellent
3532,0.04,0.07,0.41,0.1,0.7,400,0.0175,0.025,0.43,0.363636364,403,0.0001,0.1,Poor to Fair/Excellent
3557,0.03,0.07,0.38,0.08,0.875,50,0.14,0.16,0.57,0.3,404,0.0006,0.1,Poor to Fair/Excellent
3581,0.04,0.06,0.33,0.12,0.5,400,0.015,0.03,0.33,0.4,404,0.0001,0.11,Poor to Fair/Excellent
3602,0.05,0.11,0.37,0.14,0.785714286,500,0.022,0.028,0.55,0.3125,404,0.0001,0.11,Poor to Fair/Excellent
3627,0.03,0.06,0.34,0.09,0.666666667,150,0.04,0.06,0.5,0.333333333,404,0.0002,0.12,Poor to Fair/Excellent
3651,0.03,0.05,0.28,0.11,0.454545455,300,0.016666667,0.036666667,0.4,0.375,405,0.0001,0.13,Poor to Fair/Excellent
3675,0.04,0.05,0.29,0.14,0.357142857,133,0.037593985,0.105263158,0.2,0.444444444,405,0.000300752,0.13,Poor to Fair/Excellent
3700,0.05,0.08,0.41,0.12,0.666666667,100,0.08,0.12,0.38,0.384615385,405,0.0005,0.14,Poor to Fair/Excellent
3724,0.02,0.05,0.39,0.05,1,100,0.05,0.05,0.33,0.285714286,406,0.0002,0.14,Poor to Fair/Excellent
3745,0.05,0.08,0.56,0.09,0.888888889,42,0.19047619,0.214285714,0.38,0.384615385,406,0.001190476,0.15,Poor to Fair/Excellent
3767,0.08,0.11,0.66,0.12,0.916666667,62,0.177419355,0.193548387,0.33,0.421052632,406,0.001290323,0.15,Poor to Fair/Excellent
3773,0.05,0.08,0.53,0.09,0.888888889,36,0.222222222,0.25,0.5,0.384615385,407,0.001388889,0.16,Poor to Fair/Excellent
3779,0.11,0.14,0.51,0.22,0.636363636,79,0.17721519,0.278481013,0.59,0.44,407,0.001392405,0.17,Poor to Fair/Excellent
3782,0.81,0.84,0.57,1.42,0.591549296,176,0.477272727,0.806818182,0.76,0.490909091,407,0.004602273,0.17,Poor to Fair/Excellent
3785,0.97,1,0.56,1.73,0.578034682,183,0.546448087,0.945355191,0.79,0.492385787,408,0.005300546,0.18,Poor to Fair/Excellent
3788,0.38,0.41,0.55,0.69,0.594202899,158,0.259493671,0.436708861,0.69,0.481012658,408,0.002405063,0.18,Poor to Fair/Excellent
3791,0.5,0.53,0.59,0.85,0.623529412,161,0.329192547,0.527950311,0.7,0.485436893,408,0.00310559,0.19,Poor to Fair/Excellent
3794,0.09,0.12,0.41,0.22,0.545454545,90,0.133333333,0.244444444,0.59,0.428571429,409,0.001,0.19,Poor to Fair/Excellent
3800,0.06,0.09,0.42,0.14,0.642857143,75,0.12,0.186666667,0.4,0.4,409,0.0008,0.2,Poor to Fair/Excellent
3803,0.06,0.09,0.46,0.13,0.692307692,50,0.18,0.26,0.6,0.4,409,0.0012,0.21,Poor to Fair/Excellent
3806,0.11,0.14,0.41,0.27,0.518518519,92,0.152173913,0.293478261,0.48,0.44,409,0.001195652,0.21,Poor to Fair/Excellent
3825,0.07,0.1,0.33,0.21,0.476190476,350,0.028571429,0.06,0.3,0.411764706,410,0.0002,0.22,Poor to Fair/Excellent
3831,0.06,0.14,0.49,0.12,1.166666667,75,0.186666667,0.16,0.57,0.3,410,0.0008,0.22,Poor to Fair/Excellent
3834,0.07,0.09,0.42,0.17,0.529411765,41,0.219512195,0.414634146,0.22,0.4375,410,0.001707317,0.23,Poor to Fair/Excellent
3852,0.04,0.07,0.48,0.08,0.875,67,0.104477612,0.119402985,0.43,0.363636364,411,0.000597015,0.23,Poor to Fair/Excellent
3858,0.06,0.1,0.5,0.12,0.833333333,50,0.2,0.24,0.4,0.375,411,0.0012,0.24,Poor to Fair/Excellent
3864,1.44,5.69,0.59,2.44,2.331967213,158,3.601265823,1.544303797,0.75,0.201963534,411,0.009113924,0.24,Poor to Fair/Excellent
3877,0.05,0.09,0.68,0.07,1.285714286,42,0.214285714,0.166666667,0.44,0.357142857,412,0.001190476,0.25,Poor to Fair/Excellent
3889,0.16,0.25,0.51,0.31,0.806451613,200,0.125,0.155,0.36,0.390243902,412,0.0008,0.26,Poor to Fair/Excellent
3892,0.07,0.21,0.62,0.11,1.909090909,37,0.567567568,0.297297297,0.67,0.25,412,0.001891892,0.26,Poor to Fair/Excellent
3895,0.07,0.11,0.61,0.11,1,41,0.268292683,0.268292683,0.36,0.388888889,413,0.001707317,0.27,Poor to Fair/Excellent
3898,0.09,0.29,0.64,0.14,2.071428571,45,0.644444444,0.311111111,0.69,0.236842105,413,0.002,0.27,Poor to Fair/Excellent
3901,0.09,0.14,0.59,0.15,0.933333333,60,0.233333333,0.25,0.36,0.391304348,413,0.0015,0.28,Poor to Fair/Excellent
3904,0.41,1.01,0.65,0.63,1.603174603,132,0.765151515,0.477272727,0.59,0.288732394,414,0.003106061,0.28,Poor to Fair/Excellent
3913,0.3,0.6,0.7,0.43,1.395348837,143,0.41958042,0.300699301,0.5,0.333333333,414,0.002097902,0.29,Poor to Fair/Excellent
3922,0.29,0.78,0.73,0.4,1.95,85,0.917647059,0.470588235,0.63,0.271028037,414,0.003411765,0.3,Poor to Fair/Excellent
3931,1.18,6.4,0.76,1.55,4.129032258,126,5.079365079,1.23015873,0.82,0.155672823,415,0.009365079,0.3,Poor to Fair/Excellent
3941,0.21,0.58,0.97,0.22,2.636363636,58,1,0.379310345,0.64,0.265822785,415,0.00362069,0.31,Poor to Fair/Excellent
3950,1.2,4.81,0.8,1.5,3.206666667,148,3.25,1.013513514,0.75,0.199667221,415,0.008108108,0.31,Poor to Fair/Excellent
3962,1.24,5.04,0.95,1.31,3.847328244,138,3.652173913,0.949275362,0.75,0.197452229,415,0.008985507,0.32,Poor to Fair/Excellent
3971,7.24,7.79,0.84,8.62,0.903712297,201,3.875621891,4.288557214,0.07,0.48170326,416,0.0360199,0.32,Poor to Fair/Excellent
3980,0.91,2.52,1.16,0.78,3.230769231,118,2.13559322,0.661016949,0.64,0.265306122,416,0.007711864,0.33,Poor to Fair/Excellent
3998,0.83,3.1,1,0.83,3.734939759,115,2.695652174,0.72173913,0.73,0.211195929,416,0.007217391,0.34,Poor to Fair/Excellent
4011,0.33,1.06,0.85,0.39,2.717948718,103,1.029126214,0.378640777,0.69,0.237410072,417,0.003203883,0.34,Poor to Fair/Excellent
4020,0.14,0.5,0.72,0.19,2.631578947,48,1.041666667,0.395833333,0.72,0.21875,417,0.002916667,0.35,Poor to Fair/Excellent
4032,0.36,1.04,0.78,0.46,2.260869565,95,1.094736842,0.484210526,0.65,0.257142857,417,0.003789474,0.35,Poor to Fair/Excellent
4053,1.78,5.32,1.07,1.66,3.204819277,159,3.34591195,1.044025157,0.67,0.250704225,418,0.011194969,0.36,Poor to Fair/Excellent
4062,1.4,3.7,0.89,1.57,2.356687898,173,2.138728324,0.907514451,0.62,0.274509804,418,0.008092486,0.36,Poor to Fair/Excellent
4072,1.54,4.35,0.94,1.64,2.652439024,183,2.37704918,0.896174863,0.65,0.261460102,418,0.008415301,0.37,Poor to Fair/Excellent
4084,1.12,3.4,0.87,1.29,2.635658915,156,2.179487179,0.826923077,0.67,0.247787611,419,0.007179487,0.37,Poor to Fair/Excellent
4093,0.76,2.56,0.97,0.78,3.282051282,143,1.79020979,0.545454545,0.7,0.228915663,419,0.005314685,0.38,Poor to Fair/Excellent
4102,0.58,1.78,0.77,0.75,2.373333333,126,1.412698413,0.595238095,0.67,0.245762712,419,0.004603175,0.39,Poor to Fair/Excellent
4111,0.57,2,0.66,0.86,2.325581395,110,1.818181818,0.781818182,0.71,0.221789883,420,0.005181818,0.39,Poor to Fair/Excellent
4120,0.64,2.09,0.85,0.75,2.786666667,123,1.699186992,0.609756098,0.69,0.234432234,420,0.005203252,0.4,Poor to Fair/Excellent
4130,0.47,1.21,0.86,0.55,2.2,94,1.287234043,0.585106383,0.61,0.279761905,420,0.005,0.4,Poor to Fair/Excellent
4139,0.55,1.55,0.65,0.85,1.823529412,100,1.55,0.85,0.65,0.261904762,420,0.0055,0.41,Poor to Fair/Excellent
4148,0.48,1.33,0.75,0.64,2.078125,87,1.528735632,0.735632184,0.64,0.26519337,421,0.005517241,0.41,Poor to Fair/Excellent
4157,0.45,1.03,0.72,0.62,1.661290323,75,1.373333333,0.826666667,0.56,0.304054054,421,0.006,0.42,Poor to Fair/Excellent
4163,0.71,1.56,0.73,0.97,1.608247423,151,1.033112583,0.642384106,0.54,0.31277533,421,0.004701987,0.43,Poor to Fair/Excellent
4169,0.6,1.54,0.76,0.79,1.949367089,130,1.184615385,0.607692308,0.61,0.280373832,422,0.004615385,0.43,Poor to Fair/Excellent
4175,0.52,1.56,0.62,0.84,1.857142857,133,1.172932331,0.631578947,0.67,0.25,422,0.003909774,0.44,Poor to Fair/Excellent
4181,0.62,1.85,0.83,0.75,2.466666667,83,2.228915663,0.903614458,0.66,0.251012146,422,0.00746988,0.44,Poor to Fair/Excellent
4184,0.3,1.01,0.65,0.46,2.195652174,70,1.442857143,0.657142857,0.7,0.229007634,423,0.004285714,0.45,Poor to Fair/Excellent
4191,4.47,8.59,0.68,6.57,1.307458143,105,8.180952381,6.257142857,0.48,0.342266462,423,0.042571429,0.45,Poor to Fair/Excellent
4192,8.54,12.98,0.92,9.28,1.398706897,130,9.984615385,7.138461538,0.34,0.396840149,423,0.065692308,0.46,Poor to Fair/Excellent
4194,13.44,18.12,0.86,15.63,1.159309021,182,9.956043956,8.587912088,0.26,0.425855513,424,0.073846154,0.47,Poor to Fair/Excellent
4197,9.46,14.86,0.73,12.96,1.146604938,178,8.348314607,7.280898876,0.36,0.388980263,424,0.053146067,0.47,Poor to Fair/Excellent
4200,5.93,10.32,0.96,6.18,1.669902913,141,7.319148936,4.382978723,0.43,0.364923077,424,0.042056738,0.48,Poor to Fair/Excellent
4206,6.42,10.93,1.31,4.9,2.230612245,118,9.262711864,4.152542373,0.41,0.370028818,425,0.05440678,0.48,Poor to Fair/Excellent
4218,3.95,7.1,1.62,2.44,2.909836066,92,7.717391304,2.652173913,0.44,0.357466063,425,0.042934783,0.49,Poor to Fair/Excellent
4236,3.46,6.38,1.54,2.25,2.835555556,91,7.010989011,2.472527473,0.46,0.351626016,425,0.038021978,0.49,Poor to Fair/Excellent
4250,4.48,7.62,1.44,3.11,2.450160772,102,7.470588235,3.049019608,0.41,0.370247934,426,0.043921569,0.5,Poor to Fair/Excellent
4267,4.55,7.83,1.52,2.99,2.618729097,113,6.92920354,2.646017699,0.42,0.367528271,426,0.040265487,0.5,Poor to Fair/Excellent
4276,1.5,3.33,1.54,0.97,3.432989691,54,6.166666667,1.796296296,0.55,0.310559006,426,0.027777778,0.51,Poor to Fair/Excellent
4282,3.2,5.7,1.03,3.11,1.832797428,143,3.986013986,2.174825175,0.44,0.359550562,426,0.022377622,0.52,Poor to Fair/Excellent
4288,3.42,6,1.15,2.97,2.02020202,116,5.172413793,2.560344828,0.43,0.363057325,427,0.029482759,0.52,Poor to Fair/Excellent
4294,3.33,5.78,1.18,2.82,2.04964539,111,5.207207207,2.540540541,0.42,0.365532382,427,0.03,0.53,Poor to Fair/Excellent
4300,2.76,5.09,1.21,2.28,2.23245614,95,5.357894737,2.4,0.46,0.351592357,427,0.029052632,0.53,Poor to Fair/Excellent
4340,2.35,3.62,0.06,39.17,0.092417667,87,4.16091954,45.02298851,0.35,0.393634841,428,0.027011494,0.54,Poor to Fair/Excellent
4341,0.56,1.76,0.03,18.6,0.094623656,151,1.165562914,12.31788079,0.68,0.24137931,428,0.003708609,0.55,Poor to Fair/Excellent
4341,0.63,2.31,0.04,15.75,0.146666667,73,3.164383562,21.57534247,0.73,0.214285714,429,0.008630137,0.56,Poor to Fair/Excellent
4355,0.98,2.55,0.06,16.33,0.156154317,100,2.55,16.33,0.62,0.277620397,429,0.0098,0.56,Poor to Fair/Excellent
4356,0.88,2.85,0.04,22,0.129545455,106,2.688679245,20.75471698,0.69,0.235924933,429,0.008301887,0.57,Poor to Fair/Excellent
4358,3.17,11.45,1.36,2.33,4.91416309,96,11.92708333,2.427083333,0.72,0.216826265,430,0.033020833,0.57,Poor to Fair/Excellent
4373,5.48,11.69,1.07,5.12,2.283203125,145,8.062068966,3.531034483,0.53,0.319161328,430,0.037793103,0.58,Poor to Fair/Excellent
4386,9.1,13.8,1.02,8.92,1.547085202,103,13.39805825,8.660194175,0.34,0.397379913,430,0.088349515,0.58,Poor to Fair/Excellent
4395,4.32,9.38,1.09,3.96,2.368686869,115,8.156521739,3.443478261,0.54,0.315328467,431,0.037565217,0.59,Poor to Fair/Excellent
4425,33.57,43.66,4.58,7.33,5.956343793,159,27.4591195,4.610062893,0.23,0.434675644,431,0.211132075,0.6,Good/Excellent
4462,2.21,5.71,0.9,2.46,2.321138211,87,6.563218391,2.827586207,0.61,0.279040404,431,0.025402299,0.6,Poor to Fair/Excellent
4486,0.35,3.27,1.3,0.27,12.11111111,36,9.083333333,0.75,0.89,0.096685083,431,0.009722222,0.61,Poor to Fair/Excellent
4511,3.25,8.03,0.84,3.87,2.074935401,100,8.03,3.87,0.6,0.288120567,432,0.0325,0.61,Poor to Fair/Excellent
4517,0.05,0.21,0.02,2.5,0.084,100,0.21,2.5,0.76,0.192307692,432,0.0005,0.62,Poor to Fair/Excellent
4523,0.12,0.48,0.07,1.71,0.280701754,92,0.52173913,1.858695652,0.75,0.2,432,0.001304348,0.62,Poor to Fair/Excellent
4526,0.04,0.26,0.03,1.33,0.195488722,44,0.590909091,3.022727273,0.85,0.133333333,428,0.000909091,0.54,Poor to Fair/Excellent
4535,0.18,0.56,0.37,0.49,1.142857143,47,1.191489362,1.042553191,0.68,0.243243243,424,0.003829787,0.47,Poor to Fair/Excellent
4538,0.05,0.18,0.4,0.13,1.384615385,22,0.818181818,0.590909091,0.72,0.217391304,426,0.002272727,0.51,Poor to Fair/Excellent
4544,0.2,0.52,0.72,0.28,1.857142857,56,0.928571429,0.5,0.62,0.277777778,434,0.003571429,0.65,Poor to Fair/Excellent
4550,0.06,0.15,0.17,0.35,0.428571429,50,0.3,0.7,0.6,0.285714286,349,0.0012,0.88,Poor to Fair/Excellent
4562,0.02,0.06,0.12,0.17,0.352941176,18,0.333333333,0.944444444,0.67,0.25,429,0.001111111,0.56,Poor to Fair/Excellent
4575,0.02,0.06,0.1,0.2,0.3,18,0.333333333,1.111111111,0.67,0.25,430,0.001111111,0.58,Poor to Fair/Excellent
4587,0.03,0.08,0.09,0.33,0.242424242,27,0.296296296,1.222222222,0.63,0.272727273,434,0.001111111,0.65,Poor to Fair/Excellent
4599,0.06,0.14,0.19,0.32,0.4375,43,0.325581395,0.744186047,0.57,0.3,385,0.001395349,0.23,Poor to Fair/Excellent
4611,0.01,0.07,0.07,0.14,0.5,8,0.875,1.75,0.86,0.125,430,0.00125,0.58,Poor to Fair/Excellent
4623,0.08,0.27,0.13,0.62,0.435483871,40,0.675,1.55,0.7,0.228571429,342,0.002,1,Poor to Fair/Excellent
4636,0.04,0.08,0.2,0.2,0.4,44,0.181818182,0.454545455,0.5,0.333333333,337,0.000909091,1.09,Poor to Fair/Excellent
4648,0.03,0.06,0.03,1,0.06,75,0.08,1.333333333,0.5,0.333333333,350,0.0004,0.86,Poor to Fair/Excellent
4672,0.08,0.16,0.13,0.62,0.258064516,57,0.280701754,1.087719298,0.5,0.333333333,254,0.001403509,2.59,Poor to Fair/Excellent
4684,0.32,0.55,0.23,1.39,0.395683453,145,0.379310345,0.95862069,0.42,0.367816092,454,0.002206897,1.01,Poor to Fair/Excellent
4696,0.07,0.13,0.14,0.5,0.26,50,0.26,1,0.46,0.35,299,0.0014,1.78,Poor to Fair/Excellent
4709,0.03,0.08,0.05,0.6,0.133333333,38,0.210526316,1.578947368,0.63,0.272727273,299,0.000789474,1.78,Poor to Fair/Excellent
4721,0.15,0.22,0.43,0.35,0.628571429,56,0.392857143,0.625,0.32,0.405405405,299,0.002678571,1.78,Poor to Fair/Excellent
4776,0.06,0.08,0.07,0.86,0.093023256,86,0.093023256,1,0.25,0.428571429,299,0.000697674,1.78,Poor to Fair/Excellent
4806,0.04,0.07,0.09,0.44,0.159090909,133,0.052631579,0.330827068,0.43,0.363636364,432,0.000300752,0.62,Poor to Fair/Excellent
4818,0.23,0.37,0.31,0.74,0.5,92,0.402173913,0.804347826,0.38,0.383333333,428,0.0025,0.54,Poor to Fair/Excellent
4837,0.29,0.41,0.25,1.16,0.353448276,171,0.239766082,0.678362573,0.29,0.414285714,385,0.001695906,0.23,Poor to Fair/Excellent
