Depth,S1,S2,S3,TOC,PP,Tmax,classes
2052,0.11,3.27,0.41,1.04,0.03,424,Fair/Good
2055,0.11,3.64,0.36,1.19,0.03,424,Fair/Good
2061,0.11,3.44,0.38,1,0.03,423,Fair/Good
2064,0.12,3.3,0.53,1.09,0.04,423,Fair/Good
2091,0.11,5.46,0.38,1.23,0.02,416,Good/Good
2094,0.09,4.47,0.38,1.03,0.02,420,Good/Good
2097,0.15,12.31,0.35,1.69,0.01,420,Excellent/Good
2100,0.14,13.06,0.36,2.12,0.01,417,Excellent/Very Good
2103,0.12,16.58,0.37,2.47,0.01,418,Excellent/Very Good
2106,0.14,18.31,0.44,2.7,0.01,417,Excellent/Very Good
2109,0.12,9.65,0.39,1.64,0.01,418,Very Good/Poor
2112,0.2,8.3,0.44,2.19,0.02,421,Very Good/Poor
2115,0.11,8.9,0.39,1.71,0.01,418,Very Good/Poor
2118,0.13,11.48,0.39,1.92,0.01,417,Excellent/Good
2121,0.23,8.98,0.39,1.5,0.02,419,Very Good/Poor
2127,0.2,8.5,0.37,1.58,0.02,420,Very Good/Poor
2133,0.14,5.38,0.33,1.26,0.03,417,Good/Good
2148,0.18,6.43,0.32,1.36,0.03,418,Very Good/Poor
2151,0.18,6.04,0.36,1.35,0.03,418,Very Good/Poor
2154,0.15,5.94,0.35,1.22,0.02,418,Very Good/Poor
2157,0.21,4.15,0.38,0.88,0.05,419,Good/Fair
2160,0.19,3.29,0.4,0.69,0.05,418,Fair
2163,0.1,1.85,1.78,0.72,0.05,425,Poor/Fair
2274,0.1,1.44,0.34,0.38,0.06,416,Poor
2454,0.11,1.29,0.38,0.58,0.08,423,Poor/Fair
2457,0.1,1.48,0.36,0.6,0.06,423,Poor/Fair
2463,0.1,1.53,0.37,0.52,0.06,424,Poor/Fair
2466,0.11,1.77,0.3,0.71,0.06,424,Poor/Fair
2469,0.12,1.82,0.37,0.62,0.06,426,Poor/Fair
2472,0.12,1.82,0.37,0.73,0.06,423,Poor/Fair
2475,0.13,1.94,0.28,0.68,0.06,424,Fair
2478,0.4,2.63,0.43,0.67,0.13,422,Fair
2544,0.23,1.77,0.81,0.66,0.12,424,Fair
2541,0.23,1.77,0.81,0.65,0.12,424,Fair
2568,0.11,0.98,0.45,0.52,0.1,427,Poor/Fair
2586,0.11,1.09,0.43,0.53,0.09,424,Poor/Fair
