Depth,S1,S2,S3,TOC,PP,Tmax,classes
4546,27.06,8.95,1.35,2.06,36,441,Excellent/Very Good
4549,30.32,9.46,1.55,2.14,39.8,439,Excellent/Very Good
4552,23.67,7.68,1.71,1.79,31.4,438,Excellent/Good
4558,25.3,10.08,1.34,3.43,35.4,440,Excellent/Very Good
4564,27.31,8.47,1.58,3.49,35.8,443,Excellent/Very Good
4570,29.68,10.15,1.79,2.65,39.8,438,Excellent/Very Good
4576,23.69,7.43,1.51,2.12,31.1,438,Excellent/Very Good
4582,22.66,8.08,1.14,1.94,31.7,441,Excellent/Good
4588,19.14,8.15,1.48,1.8,27.7,443,Excellent/Good
4594,25.14,7.7,1.22,2.32,32.8,442,Excellent/Very Good
4597,23.44,9.32,1.35,2.04,32.8,443,Excellent/Very Good
4600,18.07,6.8,1.3,1.94,24.9,441,Excellent/Good
4606,12.79,5.82,1.15,1.3,18.6,441,Excellent/Good
4609,16.03,8.2,1.2,1.74,24.2,442,Excellent/Good
4612,18.07,7.05,1.37,1.76,25.1,441,Excellent/Good
4618,19.25,6.25,1.49,1.56,25.5,438,Excellent/Good
4630,8.41,9.13,1.16,1.41,17.5,443,Excellent/Good
4636,22.64,8.45,1.66,1.82,31.1,440,Excellent/Good
4642,21.81,8.98,1.51,1.92,30.8,439,Excellent/Good
4648,23.88,7.73,1.48,1.98,31.6,437,Excellent/Good
4654,17.4,6.05,1.42,1.32,23.5,435,Excellent/Good
4660,20.46,7.11,1.77,1.59,27.6,434,Excellent/Good
4666,18.73,7.92,1.58,1.77,26.6,436,Excellent/Good
4672,24.18,7.76,1.53,2.07,31.9,433,Excellent/Very Good
4678,15.63,6.34,1.52,1.46,22,435,Excellent/Good
4684,16.62,7.8,1.53,1.69,24.4,434,Excellent/Good
4690,28.44,9.4,1.68,2.49,37.8,428,Excellent/Very Good
4696,20.3,10.16,1.72,2.18,30.5,431,Excellent/Very Good
4702,16.23,9.7,1.61,1.84,25.9,429,Excellent/Good
4708,17.47,9.55,2.2,1.94,27,431,Excellent/Good
4714,25.21,8.28,1.96,2.22,33.5,426,Excellent/Very Good
4720,27.09,8.98,1.45,2.14,36.1,429,Excellent/Very Good
4723,26.65,7.13,1.8,2.24,33.8,427,Excellent/Very Good
4726,22.98,8.4,2.14,2.13,31.4,430,Excellent/Very Good
4729,26.39,8.15,2.31,2.33,34.5,429,Excellent/Very Good
4732,14.34,9.24,2.07,1.97,23.6,431,Excellent/Good
4738,22.22,10.76,1.25,4.25,33,438,Excellent
4741,30.35,9.93,1.49,4.48,40.3,438,Excellent
4750,30.59,9.92,1.38,3.8,40.5,435,Excellent/Very Good
4756,30.5,10.87,1.35,3.6,41.4,437,Excellent/Very Good
4762,25.46,10.95,0.64,3.57,36.4,435,Excellent/Very Good
4774,8.51,8.18,0.81,2.54,16.7,432,Excellent/Very Good
4786,32,11.81,1,3.63,43.8,435,Excellent/Very Good
4798,28.89,11.47,0.89,3.23,40.4,432,Excellent/Very Good
4804,25.43,11.58,0.68,2.96,37,430,Excellent/Very Good
4810,33.56,8.85,1.16,3.26,42.4,433,Excellent/Very Good
4822,30.87,9.36,1.28,3.41,40.2,430,Excellent/Very Good
4834,27.43,9.61,0.88,3.32,37,432,Excellent/Very Good
4846,24.22,7.41,0.97,2.75,31.6,433,Excellent/Very Good
4858,28.99,7.94,0.7,3.06,36.9,428,Excellent/Very Good
4864,32.66,12.33,1.22,3.6,45,433,Excellent/Very Good
4870,22.64,10.42,0.99,3.05,33.1,431,Excellent/Very Good
4882,29.38,11.26,1.28,5.61,40.6,430,Excellent
4894,31.86,8.95,0.93,4.59,40.8,431,Excellent
4906,46.6,14.42,1.19,3.56,61,431,Excellent/Very Good
4918,46.38,13.95,1.33,5.58,60.3,433,Excellent
4930,36.59,10.74,1.59,4.65,47.3,435,Excellent
4942,38.44,13.03,1.32,5.35,51.5,432,Excellent
4954,39.15,12.07,1.17,5.39,51.2,435,Excellent
4966,46.91,12.28,1.4,6.2,59.2,433,Excellent
4966,46.91,12.28,1.4,6.2,59.2,433,Excellent
4978,46.34,11.18,1.44,5.56,57.5,434,Excellent
4990,47.49,10.23,1.21,4.63,57.7,432,Excellent
5002,28.31,10.09,1.32,2.94,38.4,437,Excellent/Very Good
5014,28.86,7.19,1.01,1.59,36,433,Excellent/Good
5025,2.87,0.63,0.45,2.54,3.5,398,Fair/Very Good
5028,0.26,0.3,0.36,0.07,0.6,430,Poor
5032,25.49,13.45,1.11,2.16,38.9,435,Excellent/Very Good
5033,0.42,0.68,0.3,0.12,1.1,360,Poor
5038,1.42,0.89,0.31,0.19,2.3,412,Fair/Poor
5050,40.81,9.45,0.94,2.27,50.3,432,Excellent/Very Good
5068,30.72,6.15,0.83,1.8,36.9,433,Excellent/Good
5077,32.04,6.53,0.86,2.29,38.6,431,Excellent/Very Good
5086,37.49,6.21,0.98,2.1,43.7,431,Excellent/Very Good
5104,42.96,9.01,1.27,2.33,52,432,Excellent/Very Good
5122,43.56,9.64,1.09,2.81,53.2,430,Excellent/Very Good
5140,37.33,4.61,1.03,1.92,41.9,434,Excellent/Good
5158,30.04,9.18,0.81,2.31,39.2,432,Excellent/Very Good
5176,29.84,11.48,1.31,2.92,41.3,428,Excellent/Very Good
5194,37.58,11.22,1.13,2.79,48.8,435,Excellent/Very Good
3125,0.38,1.93,0.51,1.49,2.3,428,Fair/Good
3130,0.19,0.61,0.56,1.07,0.8,424,Poor/Good
3140,0.25,1.34,0.81,1.37,1.6,426,Poor/Good
3164,1.64,2.07,0.43,1.34,3.7,349,Fair/Good
3194,0.04,0.02,0.43,0.35,0.1,430,Poor
3218,1.64,1.58,0.3,0.86,3.2,342,Fair
3218,1.78,1.35,0.45,0.76,3.1,337,Fair
3224,0.05,0.01,0.18,0.36,0.1,350,Poor
3230,0.04,0.02,0.28,0.36,0.1,254,Poor
3242,0.04,0.02,0.26,0.41,0.1,299,Poor
3272,0.31,0.9,2.22,0.43,1.2,428,Poor
3272,0.07,0.03,0.13,0.39,0.1,385,Poor
3278,0.02,0.04,0.18,0.38,0.1,316,Poor
3284,0.04,0.04,0.04,0.4,0.1,297,Poor
3290,0.02,0.05,0.33,0.51,0.1,377,Poor/Fair
3296,0.06,0.18,0.25,7.68,0.2,427,Poor to Fair/Excellent
3302,4.37,33.59,0.61,7.04,38,429,Very Good/Excellent
3308,3.91,30.31,0.44,6.77,34.2,435,Excellent
3320,3.13,25.29,0.56,6.28,28.4,33,Excellent
3326,0.07,0.11,0.28,0.5,0.2,427,Poor/Fair
3326,0.66,6.14,0.4,2.38,6.8,432,Very Good/Poor
3332,0.05,0.15,0.23,0.57,0.2,430,Poor/Fair
3332,2.33,21.46,0.6,5.44,23.8,433,Excellent
3338,0.07,0.09,0.26,0.4,0.2,368,Poor
3344,0.09,0.24,0.45,0.56,0.3,429,Poor/Fair
3344,0.07,0.25,0.31,0.66,0.3,433,Poor/Fair
3350,0.08,0.14,0.28,0.51,0.2,434,Poor/Fair
3356,0.06,0.18,0.19,0.55,0.2,435,Poor/Fair
3368,0.05,0.03,0.25,0.5,0.1,300,Poor/Fair
3374,0.1,0.41,0.26,0.75,0.5,437,Poor/Fair
3374,0.14,0.28,0.46,0.69,0.4,429,Poor/Fair
3380,0.16,0.57,0.3,0.72,0.7,436,Poor/Fair
3386,0.12,0.44,0.25,0.76,0.6,434,Poor/Fair
3386,0.11,0.17,0.46,0.6,0.3,431,Poor/Fair
3392,0.1,0.17,0.31,0.59,0.3,431,Poor/Fair
3398,0.04,0.01,0.17,0.12,0.1,443,Poor
3398,0.2,0.35,0.43,0.67,0.6,429,Poor/Fair
3398,0.14,0.18,0.25,0.63,0.3,432,Poor/Fair
3410,0.07,0.11,0.61,0.39,0.2,339,Poor
3410,0.08,0.17,0.2,0.52,0.3,431,Poor/Fair
3416,0.06,0.08,0.21,0.38,0.1,390,Poor
3422,0.08,0.06,0.18,0.5,0.4,433,Poor/Fair
3428,0.05,0.08,0.39,0.39,0.1,352,Poor
3434,0.04,0.05,0.2,0.38,0.1,356,Poor
3440,0.02,0.04,0.16,0.36,0.1,431,Poor
3446,0.03,0.04,0.17,0.34,0.1,425,Poor
3452,0.03,0.03,0.14,0.32,0.1,357,Poor
3458,0.46,0.52,0.15,0.56,1,336,Poor/Fair
3470,0.08,0.17,0.26,0.46,0.3,430,Poor
3470,0.09,0.4,0.24,0.59,0.5,435,Poor/Fair
3482,0.02,0.06,0.16,0.39,0.1,403,Poor
3488,0.02,0.06,0.16,0.38,0.1,401,Poor
3494,0.02,0.05,0.13,0.38,0.1,431,Poor
3497,0.02,0.06,0.14,0.42,0.1,430,Poor
3506,0.03,0.07,0.16,0.37,0.1,432,Poor
3512,0.04,0.11,0.2,0.4,0.2,430,Poor
3518,0.44,1.02,0.15,0.8,1.5,428,Poor/Fair
3518,0.39,1.49,0.3,0.95,1.9,435,Poor/Fair
3524,0.1,0.79,0.15,0.76,0.9,436,Poor/Fair
3530,0.03,0.06,0.2,0.39,0.1,430,Poor
3536,0.05,0.13,0.23,0.39,0.2,429,Poor
3334,0.02,0.04,0.44,0.06,0.1,387,Poor
3358,0.03,0.05,0.41,0.01,0.1,338,Poor
3386,0.06,0.05,0.43,0.04,0.1,335,Poor
3480,0.04,0.04,0.45,0.04,0.1,367,Poor
3532,0.03,0.04,0.41,0.01,0.1,321,Poor
3557,0.04,0.03,0.38,0.06,0.1,323,Poor
3581,0.02,0.04,0.33,0.01,0.1,323,Poor
3602,0.06,0.05,0.37,0.01,0.1,416,Poor
3627,0.03,0.03,0.34,0.02,0.1,323,Poor
3651,0.02,0.03,0.28,0.01,0.1,328,Poor
3675,0.01,0.04,0.29,0.03,0.1,436,Poor
3700,0.03,0.05,0.41,0.05,0.1,433,Poor
3745,0.03,0.05,0.56,0.12,0.1,374,Poor
3767,0.03,0.08,0.66,0.13,0.1,415,Poor
3773,0.03,0.05,0.53,0.14,0.1,378,Poor
3779,0.03,0.11,0.51,0.14,0.3,416,Poor
3782,0.03,0.81,0.57,0.46,3.4,415,Poor
3785,0.03,0.97,0.56,0.53,4.6,417,Poor/Fair
3788,0.03,0.38,0.55,0.24,1.2,416,Poor
3791,0.03,0.5,0.59,0.31,1.7,414,Poor
3794,0.03,0.09,0.41,0.1,0.2,431,Poor
3800,0.03,0.06,0.42,0.08,0.1,433,Poor
3803,0.03,0.06,0.46,0.12,0.2,438,Poor
3806,0.03,0.11,0.41,0.12,0.2,414,Poor
3825,0.03,0.07,0.33,0.02,0,429,Poor
3831,0.08,0.06,0.49,0.08,0.1,411,Poor
3834,0.02,0.07,0.42,0.17,0.1,434,Poor
3852,0.03,0.04,0.48,0.06,0.1,325,Poor
3858,0.04,0.06,0.5,0.12,0.1,420,Poor
3864,4.25,1.44,0.59,0.91,5.7,416,Good/Fair
3877,0.04,0.05,0.68,0.12,0.1,372,Poor
3889,0.09,0.16,0.51,0.08,0.3,415,Poor
3892,0.14,0.07,0.62,0.19,0.2,440,Poor
3895,0.04,0.07,0.61,0.17,0.1,412,Poor
3898,0.2,0.09,0.64,0.2,0.3,381,Poor
3901,0.05,0.09,0.59,0.15,0.1,409,Poor
3904,0.6,0.41,0.65,0.31,1,417,Poor
3913,0.3,0.3,0.7,0.21,0.6,399,Poor
3922,0.49,0.29,0.73,0.34,0.8,418,Poor
3931,5.22,1.18,0.76,0.94,6.4,417,Very Good/Poor
3941,0.37,0.21,0.97,0.36,0.6,421,Poor
3950,3.61,1.2,0.8,0.81,4.8,417,Good/Fair
3962,3.8,1.24,0.95,0.9,5,418,Good/Fair
3971,0.55,7.24,0.84,3.6,7.8,433,Very Good/Poor
3980,1.61,0.91,1.16,0.77,2.5,418,Fair
3998,2.27,0.83,1,0.72,3.1,412,Fair
4011,0.73,0.33,0.85,0.32,1.1,409,Poor
4020,0.36,0.14,0.72,0.29,0.5,400,Poor
4032,0.68,0.36,0.78,0.38,1,406,Poor
4053,3.54,1.78,1.07,1.12,5.3,420,Good/Good
4062,2.3,1.4,0.89,0.81,3.7,416,Fair
4072,2.81,1.54,0.94,0.84,4.3,421,Good/Fair
4084,2.28,1.12,0.87,0.72,3.4,412,Fair
4093,1.8,0.76,0.97,0.53,2.6,412,Fair
4102,1.2,0.58,0.77,0.46,1.8,411,Poor
4111,1.43,0.57,0.66,0.52,2,410,Fair
4120,1.45,0.64,0.85,0.52,2.1,412,Fair
4130,0.74,0.47,0.86,0.5,1.2,418,Poor/Fair
4139,1,0.55,0.65,0.55,1.6,429,Poor/Fair
4148,0.85,0.48,0.75,0.55,1.3,430,Poor/Fair
4157,0.58,0.45,0.72,0.6,1,420,Poor/Fair
4163,0.85,0.71,0.73,0.47,1.6,441,Poor
4169,0.94,0.6,0.76,0.46,1.5,436,Poor
4175,1.04,0.52,0.62,0.39,1.6,433,Poor
4181,1.23,0.62,0.83,0.75,1.9,433,Poor/Fair
4184,0.71,0.3,0.65,0.43,1,429,Poor
4191,4.12,4.47,0.68,4.26,8.6,444,Very Good/Poor
4192,4.44,8.54,0.92,6.58,13,446,Excellent
4194,4.68,13.44,0.86,7.38,18.1,449,Very Good/Excellent
4197,5.4,9.46,0.73,5.31,14.9,446,Excellent
4200,4.39,5.93,0.96,4.21,10.3,445,Excellent
4206,4.51,6.42,1.31,5.46,10.9,442,Excellent
4218,3.15,3.95,1.62,4.28,7.1,442,Very Good/Poor
4236,2.92,3.46,1.54,3.82,6.4,444,Very Good/Poor
4250,3.14,4.48,1.44,4.38,7.6,450,Very Good/Poor
4267,3.28,4.55,1.52,4.01,7.8,447,Very Good/Poor
4276,1.83,1.5,1.54,2.78,3.3,445,Fair/Very Good
4282,2.5,3.2,1.03,2.24,5.7,453,Good/Very Good
4288,2.58,3.42,1.15,2.96,6,454,Very Good/Poor
4294,2.45,3.33,1.18,3,5.8,454,Good/Very Good
4300,2.33,2.76,1.21,2.91,5.1,453,Good/Very Good
4340,1.27,2.35,0.06,2.69,3.6,469,Fair/Very Good
4341,1.2,0.56,0.03,0.37,1.8,450,Poor
4341,1.68,0.63,0.04,0.86,2.3,454,Fair
4355,1.57,0.98,0.06,0.98,2.6,454,Fair
4356,1.97,0.88,0.04,0.83,2.9,456,Fair
4358,8.28,3.17,1.36,3.3,11.4,455,Excellent/Very Good
4373,6.21,5.48,1.07,3.79,11.7,451,Excellent/Very Good
4386,4.7,9.1,1.02,8.81,13.8,465,Very Good/Excellent
4395,5.06,4.32,1.09,3.76,9.4,457,Very Good/Poor
4425,10.09,33.57,4.58,21.11,43.7,473,Very Good/Excellent
4462,3.5,2.21,0.9,2.55,5.7,459,Good/Very Good
4486,2.92,0.35,1.3,0.97,3.3,381,Fair
4511,4.78,3.25,0.84,3.26,8,455,Very Good/Poor
4517,0.16,0.05,0.02,0.05,0.2,342,Poor
4523,0.36,0.12,0.07,0.13,0.5,405,Poor
4526,0.22,0.04,0.03,0.09,0.3,356,Poor
4535,0.38,0.18,0.37,0.38,0.6,438,Poor
4538,0.13,0.05,0.4,0.23,0.2,418,Poor
4544,0.32,0.2,0.72,0.36,0.5,416,Poor
4550,0.09,0.06,0.17,0.12,0.2,391,Poor
4562,0.04,0.02,0.12,0.11,0.1,328,Poor
4599,0.08,0.06,0.19,0.14,0.1,402,Poor
4611,0.06,0.01,0.07,0.13,0.1,357,Poor
4623,0.19,0.08,0.13,0.2,0.3,414,Poor
4636,0.04,0.04,0.2,0.09,0.1,385,Poor
4648,0.03,0.03,0.03,0.04,0.1,320,Poor
4672,0.08,0.08,0.13,0.14,0.2,300,Poor
4684,0.23,0.32,0.23,0.22,0.6,390,Poor
4696,0.06,0.07,0.14,0.14,0.1,334,Poor
4709,0.05,0.03,0.05,0.08,0.1,337,Poor
4721,0.07,0.15,0.43,0.27,0.2,408,Poor
4776,0.02,0.06,0.07,0.07,0.1,385,Poor
4806,0.03,0.04,0.09,0.03,0.1,359,Poor
4818,0.14,0.23,0.31,0.25,0.4,367,Poor
4837,0.12,0.29,0.25,0.17,0.4,374,Poor
4870,0.06,0.1,0.13,0.08,0.2,378,Poor
4888,0.02,0.06,0.07,0.06,0.1,379,Poor
4907,0.01,0.07,0.05,0.03,0.1,391,Poor
4925,0.01,0.05,0.04,0.04,0.1,376,Poor
4943,0.02,0.12,0.16,0.1,0.1,374,Poor
4962,0.09,0.11,0.23,0.14,0.2,376,Poor
4992,0.17,0.2,0.34,0.16,0.4,383,Poor
5006,2.97,2.45,2.59,2.04,5.4,368,Good/Very Good
5029,1.38,1.48,1.31,0.76,2.9,385,Fair
5038,3,5.29,0.62,2.94,8.3,455,Very Good/Poor
5056,2.85,5,0.43,2.62,7.8,456,Very Good/Poor
5117,2.37,3.43,1.01,2.39,5.8,453,Good/Very Good
5160,2.14,1.33,0.71,0.62,3.5,440,Fair
5187,0.19,0.77,0.65,0.47,1,380,Poor
5221,0.22,0.4,0.33,0.29,0.6,373,Poor
3125,0.38,1.93,0.51,1.49,2.3,428,Fair/Good
3130,0.19,0.61,0.56,1.07,0.8,424,Poor/Good
3140,0.25,1.34,0.81,1.37,1.6,426,Poor/Good
3158,0.05,1.4,0.26,0.41,0.1,434,Poor
3164,1.64,2.07,0.43,1.34,3.7,349,Fair/Good
3188,0.02,0.3,0.49,0.23,0.1,429,Poor
3194,0.04,0.02,0.43,0.35,0.1,430,Poor
3200,0.02,0.56,0.33,0.36,0.1,434,Poor
3206,0.06,1.9,0.22,0.41,0.1,385,Poor
3212,0.04,1.5,0.22,0.44,0.1,430,Poor
3218,1.64,1.58,0.3,0.86,3.2,342,Fair
3218,1.78,1.35,0.45,0.76,3.1,337,Fair
3224,0.05,0.01,0.18,0.36,0.1,350,Poor
3230,0.04,0.02,0.28,0.36,0.1,254,Poor
3236,0.01,0.02,0.22,0.33,0.2,454,Poor
3242,0.04,0.02,0.26,0.41,0.1,299,Poor
3248,0.04,0.01,0.27,0.37,1.2,299,Poor
3254,0.02,0.06,0.23,0.37,1.2,299,Poor
3260,0.03,0.01,0.3,0.39,0.1,299,Poor
3266,0.04,0.9,0.22,1.42,0.1,432,Poor/Good
3272,0.31,0.9,2.22,0.43,1.2,428,Poor
3272,0.07,0.03,0.13,0.39,0.1,385,Poor
3278,0.02,0.04,0.18,0.38,0.1,316,Poor
3284,0.04,0.04,0.04,0.4,0.1,297,Poor
3290,0.02,0.05,0.33,0.51,0.1,377,Poor/Fair
3296,0.06,0.18,0.25,7.68,0.2,427,Poor to Fair/Excellent
3302,4.37,33.59,0.61,7.04,38,429,Very Good/Excellent
3308,3.91,30.31,0.44,6.77,34.2,435,Excellent
3320,3.13,25.29,0.56,6.28,28.4,33,Excellent
3326,0.07,0.11,0.28,0.5,0.2,427,Poor/Fair
3326,0.66,6.14,0.4,2.38,6.8,432,Very Good/Poor
3332,0.05,0.15,0.23,0.57,0.2,430,Poor/Fair
3332,2.33,21.46,0.6,5.44,23.8,433,Excellent
3338,0.07,0.09,0.26,0.4,0.2,368,Poor
3344,0.09,0.24,0.45,0.56,0.3,429,Poor/Fair
3344,0.07,0.25,0.31,0.66,0.3,433,Poor/Fair
3350,0.08,0.14,0.28,0.51,0.2,434,Poor/Fair
3356,0.06,0.18,0.19,0.55,0.2,435,Poor/Fair
3368,0.03,0.08,0.12,6,0.63,430,Poor to Fair/Excellent
3374,0.41,0.51,1.58,55,0.2,431,Poor to Fair/Excellent
3374,0.28,0.42,0.61,41,0.33,390,Poor to Fair/Excellent
3380,0.57,0.73,1.9,79,0.22,390,Poor to Fair/Excellent
3386,0.44,0.56,1.76,58,0.21,391,Poor to Fair/Excellent
3386,0.17,0.28,0.43,33,0.35,391,Poor to Fair/Excellent
3392,0.17,0.27,0.55,29,0.37,391,Poor to Fair/Excellent
3398,0.01,0.05,0.06,8,0.8,392,Poor to Fair/Excellent
3398,0.35,0.55,0.81,52,0.36,392,Poor to Fair/Excellent
3398,0.18,0.32,0.72,29,0.44,392,Poor to Fair/Excellent
3410,0.11,0.18,0.13,28,0.39,393,Poor to Fair/Excellent
3410,0.17,0.25,0.18,16,0.32,393,Poor to Fair/Excellent
3416,0.08,0.14,0.85,7,0.43,393,Poor to Fair/Excellent
3422,0.06,0.14,1.83,28,0.2,394,Poor to Fair/Excellent
3428,0.08,0.13,0.4,21,0.38,394,Poor to Fair/Excellent
3434,0.05,0.09,0.31,13,0.44,394,Poor to Fair/Excellent
3440,0.04,0.06,0.24,11,0.33,395,Poor to Fair/Excellent
3446,0.04,0.07,0.29,12,0.43,395,Poor to Fair/Excellent
3452,0.03,0.06,0.2,9,0.5,395,Poor to Fair/Excellent
3458,0.52,0.98,3.47,93,0.47,396,Poor to Fair/Excellent
3464,0.01,0.02,0.1,7,0.5,396,Poor to Fair/Excellent
3470,0.17,0.25,0.71,37,0.32,396,Poor to Fair/Excellent
3470,0.4,0.49,3.33,68,0.18,397,Poor to Fair/Excellent
3476,0.02,0.04,0.13,6,0.5,397,Poor to Fair/Excellent
3482,0.06,0.08,0.38,15,0.25,397,Poor to Fair/Excellent
3488,0.06,0.08,0.46,16,0.25,398,Poor to Fair/Excellent
3494,0.05,0.07,0.36,13,0.29,398,Poor to Fair/Excellent
3497,0.06,0.08,0.38,14,0.25,398,Poor to Fair/Excellent
3506,0.07,0.1,0.35,19,0.3,398,Poor to Fair/Excellent
3512,0.11,0.15,0.73,28,0.27,399,Poor to Fair/Excellent
3518,1.02,1.46,3.4,128,0.3,399,Poor to Fair/Excellent
3518,1.49,1.88,9.93,157,0.21,399,Poor to Fair/Excellent
3524,0.79,0.89,5.27,104,0.11,400,Poor to Fair/Excellent
3530,0.06,0.09,0.3,15,0.33,400,Poor to Fair/Excellent
3536,0.13,0.18,0.57,33,0.28,400,Poor to Fair/Excellent
3334,0.04,0.06,0.09,67,0.33,401,Poor to Fair/Excellent
3358,0.05,0.08,0.12,500,0.38,401,Poor to Fair/Excellent
3386,0.05,0.11,0.12,125,0.55,401,Poor to Fair/Excellent
3410,0.03,0.06,0.06,17,0.5,402,Poor to Fair/Excellent
3432,0.01,0.03,0.02,25,0.67,402,Poor to Fair/Excellent
3456,0.01,0.02,0.03,100,0.5,402,Poor to Fair/Excellent
3480,0.04,0.08,0.09,100,0.5,403,Poor to Fair/Excellent
3508,0.02,0.04,0.06,200,0.5,403,Poor to Fair/Excellent
3532,0.04,0.07,0.1,400,0.43,403,Poor to Fair/Excellent
3557,0.03,0.07,0.08,50,0.57,404,Poor to Fair/Excellent
3581,0.04,0.06,0.12,400,0.33,404,Poor to Fair/Excellent
3602,0.05,0.11,0.14,500,0.55,404,Poor to Fair/Excellent
3627,0.03,0.06,0.09,150,0.5,404,Poor to Fair/Excellent
3651,0.03,0.05,0.11,300,0.4,405,Poor to Fair/Excellent
3675,0.04,0.05,0.14,133,0.2,405,Poor to Fair/Excellent
3700,0.05,0.08,0.12,100,0.38,405,Poor to Fair/Excellent
3724,0.02,0.05,0.05,100,0.33,406,Poor to Fair/Excellent
3745,0.05,0.08,0.09,42,0.38,406,Poor to Fair/Excellent
3767,0.08,0.11,0.12,62,0.33,406,Poor to Fair/Excellent
3773,0.05,0.08,0.09,36,0.5,407,Poor to Fair/Excellent
3779,0.11,0.14,0.22,79,0.59,407,Poor to Fair/Excellent
3782,0.81,0.84,1.42,176,0.76,407,Poor to Fair/Excellent
3785,0.97,1,1.73,183,0.79,408,Poor to Fair/Excellent
3788,0.38,0.41,0.69,158,0.69,408,Poor to Fair/Excellent
3791,0.5,0.53,0.85,161,0.7,408,Poor to Fair/Excellent
3794,0.09,0.12,0.22,90,0.59,409,Poor to Fair/Excellent
3800,0.06,0.09,0.14,75,0.4,409,Poor to Fair/Excellent
3803,0.06,0.09,0.13,50,0.6,409,Poor to Fair/Excellent
3806,0.11,0.14,0.27,92,0.48,409,Poor to Fair/Excellent
3825,0.07,0.1,0.21,350,0.3,410,Poor to Fair/Excellent
3831,0.06,0.14,0.12,75,0.57,410,Poor to Fair/Excellent
3834,0.07,0.09,0.17,41,0.22,410,Poor to Fair/Excellent
3852,0.04,0.07,0.08,67,0.43,411,Poor to Fair/Excellent
3858,0.06,0.1,0.12,50,0.4,411,Poor to Fair/Excellent
3864,1.44,5.69,2.44,158,0.75,411,Poor to Fair/Excellent
3877,0.05,0.09,0.07,42,0.44,412,Poor to Fair/Excellent
3889,0.16,0.25,0.31,200,0.36,412,Poor to Fair/Excellent
3892,0.07,0.21,0.11,37,0.67,412,Poor to Fair/Excellent
3895,0.07,0.11,0.11,41,0.36,413,Poor to Fair/Excellent
3898,0.09,0.29,0.14,45,0.69,413,Poor to Fair/Excellent
3901,0.09,0.14,0.15,60,0.36,413,Poor to Fair/Excellent
3904,0.41,1.01,0.63,132,0.59,414,Poor to Fair/Excellent
3913,0.3,0.6,0.43,143,0.5,414,Poor to Fair/Excellent
3922,0.29,0.78,0.4,85,0.63,414,Poor to Fair/Excellent
3931,1.18,6.4,1.55,126,0.82,415,Poor to Fair/Excellent
3941,0.21,0.58,0.22,58,0.64,415,Poor to Fair/Excellent
3950,1.2,4.81,1.5,148,0.75,415,Poor to Fair/Excellent
3962,1.24,5.04,1.31,138,0.75,415,Poor to Fair/Excellent
3971,7.24,7.79,8.62,201,0.07,416,Poor to Fair/Excellent
3980,0.91,2.52,0.78,118,0.64,416,Poor to Fair/Excellent
3998,0.83,3.1,0.83,115,0.73,416,Poor to Fair/Excellent
4011,0.33,1.06,0.39,103,0.69,417,Poor to Fair/Excellent
4020,0.14,0.5,0.19,48,0.72,417,Poor to Fair/Excellent
4032,0.36,1.04,0.46,95,0.65,417,Poor to Fair/Excellent
4053,1.78,5.32,1.66,159,0.67,418,Poor to Fair/Excellent
4062,1.4,3.7,1.57,173,0.62,418,Poor to Fair/Excellent
4072,1.54,4.35,1.64,183,0.65,418,Poor to Fair/Excellent
4084,1.12,3.4,1.29,156,0.67,419,Poor to Fair/Excellent
4093,0.76,2.56,0.78,143,0.7,419,Poor to Fair/Excellent
4102,0.58,1.78,0.75,126,0.67,419,Poor to Fair/Excellent
4111,0.57,2,0.86,110,0.71,420,Poor to Fair/Excellent
4120,0.64,2.09,0.75,123,0.69,420,Poor to Fair/Excellent
4130,0.47,1.21,0.55,94,0.61,420,Poor to Fair/Excellent
4139,0.55,1.55,0.85,100,0.65,420,Poor to Fair/Excellent
4148,0.48,1.33,0.64,87,0.64,421,Poor to Fair/Excellent
4157,0.45,1.03,0.62,75,0.56,421,Poor to Fair/Excellent
4163,0.71,1.56,0.97,151,0.54,421,Poor to Fair/Excellent
4169,0.6,1.54,0.79,130,0.61,422,Poor to Fair/Excellent
4175,0.52,1.56,0.84,133,0.67,422,Poor to Fair/Excellent
4181,0.62,1.85,0.75,83,0.66,422,Poor to Fair/Excellent
4184,0.3,1.01,0.46,70,0.7,423,Poor to Fair/Excellent
4191,4.47,8.59,6.57,105,0.48,423,Poor to Fair/Excellent
4192,8.54,12.98,9.28,130,0.34,423,Poor to Fair/Excellent
4194,13.44,18.12,15.63,182,0.26,424,Poor to Fair/Excellent
4197,9.46,14.86,12.96,178,0.36,424,Poor to Fair/Excellent
4200,5.93,10.32,6.18,141,0.43,424,Poor to Fair/Excellent
4206,6.42,10.93,4.9,118,0.41,425,Poor to Fair/Excellent
4218,3.95,7.1,2.44,92,0.44,425,Poor to Fair/Excellent
4236,3.46,6.38,2.25,91,0.46,425,Poor to Fair/Excellent
4250,4.48,7.62,3.11,102,0.41,426,Poor to Fair/Excellent
4267,4.55,7.83,2.99,113,0.42,426,Poor to Fair/Excellent
4276,1.5,3.33,0.97,54,0.55,426,Poor to Fair/Excellent
4282,3.2,5.7,3.11,143,0.44,426,Poor to Fair/Excellent
4288,3.42,6,2.97,116,0.43,427,Poor to Fair/Excellent
4294,3.33,5.78,2.82,111,0.42,427,Poor to Fair/Excellent
